"REASON","GEO","ACL00","QUANTILE","DEG_URB","HHTYP","TIME","UNIT","Value","Flag and Footnotes"
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Single person","2015","Percentage","30.5",""
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Two adults","2015","Percentage","42.2","u"
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Two adults with dependent children","2015","Percentage","33.0","u"
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Three or more adults","2015","Percentage","33.7","u"
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Households without dependent children","2015","Percentage","33.8",""
"Financial reasons","Slovenia","Cinema","First quintile","Cities","Households with dependent children","2015","Percentage","30.1",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Single person","2015","Percentage","26.8",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Two adults","2015","Percentage","35.7",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Two adults with dependent children","2015","Percentage","46.6",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Three or more adults","2015","Percentage","37.7","u"
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Households without dependent children","2015","Percentage","31.2",""
"Financial reasons","Slovenia","Cinema","First quintile","Towns and suburbs","Households with dependent children","2015","Percentage","46.1",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Single person","2015","Percentage","24.8",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Two adults","2015","Percentage","30.9",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Two adults with dependent children","2015","Percentage","31.0",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Three or more adults","2015","Percentage","23.0",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Households without dependent children","2015","Percentage","26.6",""
"Financial reasons","Slovenia","Cinema","First quintile","Rural areas","Households with dependent children","2015","Percentage","32.0",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Single person","2015","Percentage","10.4",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Two adults","2015","Percentage","13.6",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Two adults with dependent children","2015","Percentage","20.1","u"
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Three or more adults","2015","Percentage",":","u"
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Households without dependent children","2015","Percentage","14.6",""
"Financial reasons","Slovenia","Cinema","Second quintile","Cities","Households with dependent children","2015","Percentage","22.8",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Single person","2015","Percentage","11.3",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Two adults","2015","Percentage","12.0",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Two adults with dependent children","2015","Percentage","21.8",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Three or more adults","2015","Percentage","27.2",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Households without dependent children","2015","Percentage","14.9",""
"Financial reasons","Slovenia","Cinema","Second quintile","Towns and suburbs","Households with dependent children","2015","Percentage","26.9",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Single person","2015","Percentage","13.0",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Two adults","2015","Percentage","16.8",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Two adults with dependent children","2015","Percentage","21.1",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Three or more adults","2015","Percentage","23.6",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Households without dependent children","2015","Percentage","17.5",""
"Financial reasons","Slovenia","Cinema","Second quintile","Rural areas","Households with dependent children","2015","Percentage","22.8",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Single person","2015","Percentage","0","u"
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Two adults","2015","Percentage","15.4",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Two adults with dependent children","2015","Percentage","18.6","u"
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Three or more adults","2015","Percentage","11.5","u"
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Households without dependent children","2015","Percentage","10.3",""
"Financial reasons","Slovenia","Cinema","Third quintile","Cities","Households with dependent children","2015","Percentage","16.8",""
